Subject,COR,RMSE
1_20151124_noon_2,0.9228638210378961,0.1811431447116834
8_20151022_noon,0.912782131041901,0.16458504275210514
18_20150926_noon,0.901500507005789,0.23276375738674598
17_20150925_noon,0.8725621113624972,0.1695320778513062
16_20151128_night,0.861961936229406,0.23049717094641614
5_20141108_noon,0.8603843797225023,0.24083599599297167
5_20151012_night,0.8579002523347357,0.22200247476772195
14_20151014_night,0.8457574708355488,0.1689613509731942
12_20150928_noon,0.8319425691604468,0.31445926698552307
15_20151126_night,0.8304821062918586,0.14184437754685872
13_20150929_noon,0.828043854614733,0.17633028577326645
21_20151016_noon,0.8239192656960576,0.267408076201494
2_20151106_noon,0.8121444514615073,0.14379690042664392
20_20151129_night,0.773745580351746,0.30200392341741394
7_20151015_night,0.7428266010334152,0.11017432809499424
3_20151024_noon,0.7286644715290117,0.15206512962600194
10_20151125_noon,0.7190298373469879,0.12796050735789424
4_20151105_noon,0.7186884669992856,0.18313502143964075
4_20151107_noon,0.7151580545597718,0.2181592848376252
11_20151024_night,0.7110719858370952,0.12162900826919654
9_20151017_night,0.6767026991837684,0.120349430797467
19_20151114_noon,0.6519879451082609,0.1106111147221583
6_20151121_noon,0.6427525520751111,0.1207967344920338
